No,ID,Scenario,Mode,Choice,Gender,Age,Marital,Nationality,Career1,Career,Education,VehOwner,VehOwner1,CarOwner,DrLicense,IndMotor,Hmotor,IndCar,Hcar,Hmem,Hinc,Hinc1,AirClass,AccTraveler,Partysize,TripPose1,TripPose,HandBag,CheckBag,TripDuration,TimeTraveled,TripOrigin,Distance,Samemode,TravelCost,InVehTime,Timesaving,NoTransfer, Userfriendly,Reasonable,Punctual,Safety,Comfort, Rapid, Convenience,Accessible,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,VehCost_MT, VehCost_Car ,VehCost_Taxi ,VehCost_Bus , VehCost_VCAT ,Ttime_MT,Ttime_Car, Ttime_Taxi ,Ttime_Bus,Ttime_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Accesstime_MT,Accesstime_Car,Accesstime_Taxi,Accesstime_Bus,Accesstime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,ParkFee_MT, ParkFee_Car , ParkFee_Taxi , ParkFee_Bus , ParkFee_VCAT ,NoTranfer_MT,NoTranfer_Car,NoTranfer_Taxi,NoTranfer_Bus,NoTranfer_VCAT,Weacon_MT,Weacon_Car,Weacon_Taxi,Weacon_Bus,Weacon_VCAT,FlightCheck_MT,FlightCheck_Car,FlightCheck_Taxi,FlightCheck_Bus,FlightCheck_VCAT,SP_TripMT,SP_TripCar,SP_TripTaxi,SP_TripBus,SP_TripVCAT,SP_LugMT,SP_LugCar,SP_LugTaxi,SP_LugBus,SP_LugVCAT,SP_AccMT,SP_AccCar,SP_AccTaxi,SP_AccBus,SP_AccVCAT, ITC , PF ,TTC,IVT,AC,WT,STM,NF,DL,WC,FS,TPS,NLG,AT
554,277,S7,Bus,4,0,2,0,1,4,0,3,1,1,0,1,0,0,3,3,3,5,6,1,1,3,1,1,2,1,5,2,2,11,0,2,2,5,5,5,5,5,5,5,5,5,5,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,165,165,165,165,165,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,10,10,10,10,10,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"19,000",0,165,30,15,20,90,11,10,0,0,1,1,1
555,278,S5,Bus,4,0,6,0,1,2,2,1,1,1,1,1,0,0,0,3,3,6,8,1,1,3,3,4,2,1,2,1,2,15,2,2,1,4,4,5,4,5,5,4,4,5,3,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,185,185,185,185,185,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,120,120,120,120,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"19,000",0,185,30,15,20,120,11,0,1,0,0,1,0
556,278,S7,Bus,4,0,6,0,1,2,2,1,1,1,1,1,0,0,0,3,3,6,8,1,1,3,3,4,2,1,2,1,2,15,2,2,1,4,4,5,4,5,5,4,4,5,3,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,165,165,165,165,165,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,10,10,10,10,10,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"19,000",0,165,30,15,20,90,11,10,0,0,1,1,1
557,279,S5,VCAT,5,0,2,1,1,6,0,3,0,0,0,1,0,0,0,0,1,1,1,1,0,2,3,4,1,1,4,5,2,5,2,2,1,4,3,4,4,5,4,4,5,4,3,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,83,83,83,83,83,18,18,18,18,18,10,10,10,10,10,15,15,15,15,15,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"34,000",0,83,18,10,15,40,1,0,1,1,0,1,0
558,279,S7,Bus,4,0,2,1,1,6,0,3,0,0,0,1,0,0,0,0,1,1,1,1,0,2,3,4,1,1,4,5,2,5,2,2,1,4,3,4,4,5,4,4,5,4,3,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,165,165,165,165,165,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,10,10,10,10,10,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"19,000",0,165,30,15,20,90,11,10,0,0,1,1,1
559,280,S5,VCAT,5,1,4,0,0,1,1,3,1,1,1,1,0,0,0,0,5,3,4,1,4,5,2,2,1,1,2,2,1,10,2,1,3,5,5,5,5,5,5,5,5,5,5,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,83,83,83,83,83,18,18,18,18,18,10,10,10,10,10,15,15,15,15,15,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"34,000",0,83,18,10,15,40,1,0,1,1,0,1,0
560,280,S7,VCAT,5,1,4,0,0,1,1,3,1,1,1,1,0,0,0,0,5,3,4,1,4,5,2,2,1,1,2,2,1,10,2,1,3,5,5,5,5,5,5,5,5,5,5,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,98,98,98,98,98,18,18,18,18,18,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"34,000",0,98,18,10,20,50,1,0,0,1,1,1,1
561,281,S6,VCAT,5,1,4,0,0,1,1,3,1,1,0,1,2,2,1,1,5,2,3,1,2,4,2,2,2,1,3,4,2,280,2,1,3,5,5,5,3,5,5,5,5,5,5,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,98,98,98,98,98,18,18,18,18,18,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"34,000",0,98,18,10,20,50,1,0,1,1,0,0,1
562,281,S8,VCAT,5,1,4,0,0,1,1,3,1,1,0,1,2,2,1,1,5,2,3,1,2,4,2,2,2,1,3,4,2,280,2,1,3,5,5,5,3,5,5,5,5,5,5,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,103,103,103,103,103,23,23,23,23,23,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"34,000",0,103,23,15,15,50,1,0,0,1,1,0,0
563,282,S6,VCAT,5,1,5,0,0,1,1,3,1,1,1,1,1,1,1,1,3,3,4,1,4,5,2,3,1,1,4,5,1,10,2,3,3,5,5,5,5,5,5,5,5,5,5,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,98,98,98,98,98,18,18,18,18,18,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"34,000",0,98,18,10,20,50,1,0,1,1,0,0,1
