No,ID,Scenario,Mode,Choice,Nationality,Gender,Age,Job,IndMotor,Hmotor,IndCar,Hcar,Hmem,Hinc,AirClass,FreTravel,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,VehCost_MT, VehCost_Car ,VehCost_Taxi ,VehCost_Bus , VehCost_VCAT ,Ttime_MT,Ttime_Car, Ttime_Taxi ,Ttime_Bus,Ttime_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Accesstime_MT,Accesstime_Car,Accesstime_Taxi,Accesstime_Bus,Accesstime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,ParkFee_MT, ParkFee_Car , ParkFee_Taxi , ParkFee_Bus , ParkFee_VCAT ,NoTranfer_MT,NoTranfer_Car,NoTranfer_Taxi,NoTranfer_Bus,NoTranfer_VCAT,Weacon_MT,Weacon_Car,Weacon_Taxi,Weacon_Bus,Weacon_VCAT,FlightCheck_MT,FlightCheck_Car,FlightCheck_Taxi,FlightCheck_Bus,FlightCheck_VCAT,TripMT,TripCar,TripTaxi,TripBus,TripVCAT,LugMT,LugCar,LugTaxi,LugBus,LugVCAT,AccmMT,AccmCar,AccmTaxi,AccmBus,AccmVCAT,TPS,NLG,AT
637,319,S5,VCAT,5,1,1,3,4,0,0,1,1,2,2,1,2,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,83,83,83,83,83,18,18,18,18,18,10,10,10,10,10,15,15,15,15,15,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
638,319,S7,Bus,4,1,1,3,4,0,0,1,1,2,2,1,2,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,165,165,165,165,165,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,10,10,10,10,10,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
639,320,S6,VCAT,5,0,0,3,7,1,3,1,2,4,2,1,1,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,98,98,98,98,98,18,18,18,18,18,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
640,320,S8,VCAT,5,0,0,3,7,1,3,1,2,4,2,1,1,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,103,103,103,103,103,23,23,23,23,23,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
641,321,S2,VCAT,5,0,0,3,7,1,3,0,0,3,1,1,2,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,103,103,103,103,103,23,23,23,23,23,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
642,321,S4,VCAT,5,0,0,3,7,1,3,0,0,3,1,1,2,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,98,98,98,98,98,23,23,23,23,23,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
643,322,S6,VCAT,5,0,0,3,7,1,3,1,2,2,1,1,2,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,98,98,98,98,98,18,18,18,18,18,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
644,322,S8,VCAT,5,0,0,3,7,1,3,1,2,2,1,1,2,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,103,103,103,103,103,23,23,23,23,23,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
645,323,S1,VCAT,5,0,0,2,7,1,2,0,0,3,2,1,2,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,83,83,83,83,83,18,18,18,18,18,10,10,10,10,10,15,15,15,15,15,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
646,323,S3,VCAT,5,0,0,2,7,1,2,0,0,3,2,1,2,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,98,98,98,98,98,23,23,23,23,23,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
647,324,S6,VCAT,5,0,1,1,3,1,3,0,0,2,1,1,2,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,98,98,98,98,98,18,18,18,18,18,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
648,324,S8,VCAT,5,0,1,1,3,1,3,0,0,2,1,1,2,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,103,103,103,103,103,23,23,23,23,23,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
649,325,S6,VCAT,5,0,0,2,4,1,5,0,0,3,2,1,1,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,98,98,98,98,98,18,18,18,18,18,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
650,325,S8,VCAT,5,0,0,2,4,1,5,0,0,3,2,1,1,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,103,103,103,103,103,23,23,23,23,23,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
651,326,S1,VCAT,5,0,0,2,4,1,3,0,0,2,1,1,1,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,83,83,83,83,83,18,18,18,18,18,10,10,10,10,10,15,15,15,15,15,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
652,326,S3,VCAT,5,0,0,2,4,1,3,0,0,2,1,1,1,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,98,98,98,98,98,23,23,23,23,23,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
653,327,S1,Bus,4,0,0,3,7,0,0,1,1,4,2,1,2,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,150,150,150,150,150,30,30,30,30,30,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
