,,,,,,,,,TCost,TCost,TCost,TCost,TCost,Cost,Cost,Cost,Cost,Cost,Park,Park,Park,Park,Park,TTime,TTime,TTime,TTime,TTime,VehTime,VehTime,VehTime,VehTime,VehTime,AccTime,AccTime,AccTime,AccTime,AccTime,WTime,WTime,WTime,WTime,WTime,SafeTime,SafeTime,SafeTime,SafeTime,SafeTime,Trans,Trans,Trans,Trans,Trans,Delay,Delay,Delay,Delay,Delay,WC,WC,WC,WC,WC,ChkIn,ChkIn,ChkIn,ChkIn,ChkIn,,,,,,,,,,,,,,,
,,,,,,,,,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,,,,,,,,,,,,,,,
,,,,,,2,3,4,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No,Scenarios,ScenarioNumber,GroupID,IndID,MODE,TripPur_SP,ChkLug,Accomp,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,Cost_MT,Cost_Car,Cost_Taxi,Cost_Bus,Cost_VCAT,Park_MT,Park_Car,Park_Taxi,Park_Bus,Park_VCAT,TTime_MT,TTime_Car,TTime_Taxi,TTime_Bus,TTime_VCAT,VehTime_MT,VehTime_Car,VehTime_Taxi,VehTime_Bus,VehTime_VCAT,AccTime_MT,AccTime_Car,AccTime_Taxi,AccTime_Bus,AccTime_VCAT,WTime_MT,WTime_Car,WTime_Taxi,WTime_Bus,WTime_VCAT,SafeTime_MT,SafeTime_Car,SafeTime_Taxi,SafeTime_Bus,SafeTime_VCAT,Trans_MT,Trans_Car,Trans_Taxi,Trans_Bus,Trans_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,WC_MT,WC_Car,WC_Taxi,WC_Bus,WC_VCAT,ChkIn_MT,ChkIn_Car,ChkIn_Taxi,ChkIn_Bus,ChkIn_VCAT,Gender,Age,Married,Nat,Resident,Job,Edu,Veh_Own,DrL,Ind_MT,HH_MT,Ind_Car,HH_car,MODE_Main,CarB_Fu
178,S3,3,1,89,limousine bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,Japan,foreigner,Businessperson,master/doctor,no,both,0,0,1,1,other: company car,none
179,S6,6,4,90,airport bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,Zimbabwe,foreigner,Government official,Bachelor,yes,car,0,0,1,1,Private car,none
180,S8,8,4,90,motorbike,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,Zimbabwe,foreigner,Government official,Bachelor,yes,car,0,0,1,1,Private car,none
181,S5,5,3,91,taxi,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,Ugandar,foreigner,Government official,master/doctor,no,no,0,0,0,0,other,none
182,S7,7,3,91,taxi,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,Ugandar,foreigner,Government official,master/doctor,no,no,0,0,0,0,other,none
183,S2,2,2,92,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,British,foreigner,other: hospitality,under or high school,no,car,0,0,2,2,Private car,less 5
184,S4,4,2,92,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,British,foreigner,other: hospitality,under or high school,no,car,0,0,2,2,Private car,less 5
185,S2,2,2,93,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,single,British,foreigner,other: nurse,Bachelor,yes,car,0,0,1,1,Private car,none
186,S4,4,2,93,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,single,British,foreigner,other: nurse,Bachelor,yes,car,0,0,1,1,Private car,none
187,S2,2,2,94,airport bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,single,Taijk,foreigner,Government official,master/doctor,no,Do not have,0,0,0,0,other,none
188,S4,4,2,94,taxi,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,single,Taijk,foreigner,Government official,master/doctor,no,Do not have,0,0,0,0,other,none
189,S2,2,2,95,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,France,foreigner,Private firm employee,master/doctor,no,car,0,0,0,0,other: bike,none
190,S4,4,2,95,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,France,foreigner,Private firm employee,master/doctor,no,car,0,0,0,0,other: bike,none
191,S2,2,2,96,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,USA,foreigner,Private firm employee,college,yes,car,0,0,4,4,Private car,none
192,S4,4,2,96,taxi,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,USA,foreigner,Private firm employee,college,yes,car,0,0,4,4,Private car,none
193,S2,2,2,97,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,0,foreigner,other,college,yes,car,0,0,2,2,Private car,none
194,S4,4,2,97,car,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,0,foreigner,other,college,yes,car,0,0,2,2,Private car,none
195,S5,5,3,98,taxi,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,USA,foreigner,Private firm employee,college,yes,car,0,0,1,1,Private car,none
196,S7,7,3,98,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,USA,foreigner,Private firm employee,college,yes,car,0,0,1,1,Private car,none
197,S2,2,2,99,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,married,USA,foreigner,saleperson,master/doctor,yes,Do not have,0,0,4,4,Private car,none
198,S4,4,2,99,taxi,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,married,USA,foreigner,saleperson,master/doctor,yes,Do not have,0,0,4,4,Private car,none
199,S6,6,4,100,airport bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,France,foreigner,Retired/Unemployed,master/doctor,yes,car,0,0,1,1,Private car,none
200,S8,8,4,100,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,married,France,foreigner,Retired/Unemployed,master/doctor,yes,car,0,0,1,1,Private car,none
171,S6,6,4,86,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,France,foreigner,other:researcher,master/doctor,no,car,1,1,0,0,other:bike,none
202,S8,8,4,101,taxi,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,India,foreigner,Private firm employee,master/doctor,yes,both,2,2,1,1,taxi,none
201,S6,6,4,101,limousine bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,India,foreigner,Private firm employee,master/doctor,yes,both,2,2,1,1,taxi,none
204,S8,8,4,102,car,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,21-30,married,france,foreigner,Professor/Teacher,master/doctor,yes,both,0,0,1,1,Private car,less 5
205,S5,5,3,103,taxi,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,41-50,single,Thailand,foreigner,Private firm employee,Bachelor,yes,car,0,0,1,1,taxi,above 10
206,S7,7,3,103,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,41-50,single,Thailand,foreigner,Private firm employee,Bachelor,yes,car,0,0,1,1,taxi,above 10
207,S6,6,4,104,airport bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,41-50,married,Cabodia,foreigner,Government official,master/doctor,yes,car,0,0,0,1,Private car,none
208,S8,8,4,104,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,41-50,married,Cabodia,foreigner,Government official,master/doctor,yes,car,0,0,0,1,Private car,none
209,S2,2,2,105,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,single,German,foreigner,Student/pupil,master/doctor,yes,car,1,1,0,0,other: bike,5 – 10
210,S4,4,2,105,taxi,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,single,German,foreigner,Student/pupil,master/doctor,yes,car,1,1,0,0,other: bike,5 – 10
211,S2,2,2,106,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,single,France,foreigner,Student/pupil,college,no,Do not have,0,0,0,0,public bus,5 – 10
212,S4,4,2,106,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,single,France,foreigner,Student/pupil,college,no,Do not have,0,0,0,0,public bus,5 – 10
213,S2,2,2,107,airport bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,Belgian,foreigner,Professor/Teacher,Bachelor,yes,car,0,0,0,0,Tuk-tuk/Jumbo,none
214,S4,4,2,107,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,less or 20,married,Belgian,foreigner,Professor/Teacher,Bachelor,yes,car,0,0,0,0,Tuk-tuk/Jumbo,none
215,S2,2,2,108,airport bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,single,Australia,foreigner,Government official,Bachelor,no,car,0,0,1,1,Private car,5 – 10
216,S4,4,2,108,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,single,Australia,foreigner,Government official,Bachelor,no,car,0,0,1,1,Private car,5 – 10
217,S2,2,2,109,airport bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,married,Australia,foreigner,Businessperson,master/doctor,yes,both,0,0,4,4,Private car,less 5
218,S4,4,2,109,taxi,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,married,Australia,foreigner,Businessperson,master/doctor,yes,both,0,0,4,4,Private car,less 5
219,S6,6,4,110,taxi,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,single,British,foreigner,other: artist,Bachelor,no,Do not have,0,0,0,0,other: train,none
220,S8,8,4,110,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,less or 20,single,British,foreigner,other: artist,Bachelor,no,Do not have,0,0,0,0,other: train,none
221,S5,5,3,111,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,0,foreigner,Government official,Bachelor,no,both,0,0,0,0,taxi,5 – 10
222,S7,7,3,111,taxi,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,0,foreigner,Government official,Bachelor,no,both,0,0,0,0,taxi,5 – 10
223,S5,5,3,112,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,British,foreigner,Self-employed person,college,yes,both,0,0,1,1,taxi,less 5
224,S7,7,3,112,car,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,British,foreigner,Self-employed person,college,yes,both,0,0,1,1,taxi,less 5
225,S5,5,3,113,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Thailand,foreigner,Businessperson,master/doctor,yes,both,1,1,3,3,Private car,less 5
226,S7,7,3,113,car,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,Thailand,foreigner,Businessperson,master/doctor,yes,both,1,1,3,3,Private car,less 5
227,S5,5,3,114,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Japan,foreigner,Professor/Teacher,Bachelor,yes,both,1,1,0,0,Motorbike,none
228,S7,7,3,114,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Japan,foreigner,Professor/Teacher,Bachelor,yes,both,1,1,0,0,Motorbike,none
229,S5,5,3,115,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,single,Lao,Vientiane,Private firm employee,Bachelor,yes,car,3,3,1,1,Private car,none
230,S7,7,3,115,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,single,Lao,Vientiane,Private firm employee,Bachelor,yes,car,3,3,1,1,Private car,none
231,S5,5,3,116,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,married,Lao,Non-Vientiane,Private firm employee,college,yes,no,1,1,1,1,Private car,none
232,S7,7,3,116,motorbike,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,married,Lao,Non-Vientiane,Private firm employee,college,yes,no,1,1,1,1,Private car,none
233,S5,5,3,117,car,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,married,Lao,Vientiane,Private firm employee,under or high school,yes,no,2,2,1,1,Private car,none
